==============================================================================
  ENGINE PROFILE (iteration-03 parity)  —  flavor='short_b8'
==============================================================================
  backend       : triton (fused kernels) + cuda-graph decode
  batch size    : 8
  prompt tokens : 12 (per row, left-padded)
  new tokens    : 32
  prefill       : 36.31 ms
  decode/step   : 10.018 ms  (798.6 tok/s over the batch)
  peak VRAM     : 6.82 GB
  sampling      : temperature=0.7  top_k=50  top_p=0.9
------------------------------------------------------------------------------
  Op table sorted by cuda_time_total (top 100)
------------------------------------------------------------------------------
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at_cuda_detail::cub::DeviceRadixSortExclusiveSu...         0.00%       0.000us         0.00%       0.000us       0.000us      37.441us         0.01%      37.441us       1.170us           0 b           0 b           0 b           0 b            32            --  
                                       aten::zeros_like         0.03%      92.839us         0.19%     619.236us      19.351us       0.000us         0.00%      36.387us       1.137us           0 b           0 b      31.31 Mb           0 b            32            --  
                                            aten::zero_         0.02%      69.248us         0.10%     318.744us       9.961us       0.000us         0.00%      36.387us       1.137us           0 b           0 b           0 b           0 b            32            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      36.387us         0.01%      36.387us       1.137us           0 b           0 b           0 b           0 b            32            --  
void at::native::mbtopk::fill<unsigned int, unsigned...         0.00%       0.000us         0.00%       0.000us       0.000us      35.647us         0.01%      35.647us       1.114us           0 b           0 b           0 b           0 b            32            --  
                                      aten::bitwise_and         0.06%     180.059us         0.10%     316.762us       9.899us      34.337us         0.01%      34.337us       1.073us           0 b           0 b      16.00 Kb      16.00 Kb            32            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      34.337us         0.01%      34.337us       1.073us           0 b           0 b           0 b           0 b            32            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      33.952us         0.01%      33.952us       1.061us           0 b           0 b           0 b           0 b            32            --  
                                      aten::bitwise_not         0.05%     170.453us         0.10%     311.413us       9.732us      33.825us         0.01%      33.825us       1.057us           0 b           0 b      16.00 Kb      16.00 Kb            32            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      33.825us         0.01%      33.825us       1.057us           0 b           0 b           0 b           0 b            32            --  
                                               aten::eq         0.08%     253.880us         0.13%     407.489us      12.734us      32.256us         0.01%      32.256us       1.008us           0 b           0 b      16.00 Kb      16.00 Kb            32            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      32.256us         0.01%      32.256us       1.008us           0 b           0 b           0 b           0 b            32            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.928us         0.00%       4.928us       4.928us           0 b           0 b           0 b           0 b             1            --  
                                        aten::embedding         0.01%      35.281us         0.05%     163.752us     163.752us       0.000us         0.00%       3.808us       3.808us           0 b           0 b     576.00 Kb           0 b             1            --  
                                     aten::index_select         0.01%      38.212us         0.03%     112.692us     112.692us       3.808us         0.00%       3.808us       3.808us           0 b           0 b     576.00 Kb           0 b             1            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 323.229ms
Self CUDA time total: 291.170ms

