LIVE SERVER ENGINE PROFILE
max_running=8
max_seq_len=4096
token_budget=32768
cuda_graphs=False
profile_steps=10

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::sum         0.04%     196.039us         0.05%     284.528us      31.614us      97.186us         0.06%      97.186us      10.798us           0 b           0 b       4.50 Kb       4.50 Kb             9            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      97.186us         0.06%      97.186us      10.798us           0 b           0 b           0 b           0 b             9            --  
void at::native::mbtopk::radixFindKthValues<c10::BFl...         0.00%       0.000us         0.00%       0.000us       0.000us      79.874us         0.05%      79.874us       4.992us           0 b           0 b           0 b           0 b            16            --  
void at_cuda_detail::cub::DeviceRadixSortUpsweepKern...         0.00%       0.000us         0.00%       0.000us       0.000us      77.890us         0.05%      77.890us       2.885us           0 b           0 b           0 b           0 b            27            --  
void at_cuda_detail::cub::RadixSortScanBinsKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us      71.456us         0.05%      71.456us       2.647us           0 b           0 b           0 b           0 b            27            --  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.03%     176.113us         0.05%     241.803us       2.032us       0.000us         0.00%      65.057us       0.547us           0 b           0 b           0 b           0 b           119            --  
                                               aten::to         0.05%     258.186us         1.05%       5.522ms      69.904us       0.000us         0.00%      64.960us       0.822us         280 b           0 b      18.58 Mb           0 b            79            --  
                                         aten::_to_copy         0.08%     428.484us         1.00%       5.264ms      76.294us       0.000us         0.00%      64.960us       0.941us         280 b           0 b      18.58 Mb           0 b            69            --  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us      55.712us         0.04%      55.712us       6.964us           0 b           0 b           0 b           0 b             8            --  
                                              aten::min         0.04%     199.620us         0.08%     422.087us      46.899us      46.624us         0.03%      46.624us       5.180us           0 b           0 b       4.50 Kb           0 b             9            --  
                                              aten::max         0.03%     180.326us         0.07%     371.336us      41.260us      46.528us         0.03%      46.528us       5.170us           0 b           0 b       4.50 Kb           0 b             9            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      45.697us         0.03%      45.697us       3.264us           0 b           0 b           0 b           0 b            14            --  
                                              aten::div         0.06%     291.407us         0.09%     481.256us      26.736us      44.866us         0.03%      44.866us       2.493us           0 b           0 b       8.85 Mb       8.85 Mb            18            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      43.744us         0.03%      43.744us       4.860us           0 b           0 b           0 b           0 b             9            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      43.744us         0.03%      43.744us       4.860us           0 b           0 b           0 b           0 b             9            --  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      39.681us         0.03%      39.681us       1.368us           0 b           0 b           0 b           0 b            29            --  
void at_cuda_detail::cub::DeviceScanByKeyKernel<at_c...         0.00%       0.000us         0.00%       0.000us       0.000us      38.688us         0.02%      38.688us       2.149us           0 b           0 b           0 b           0 b            18            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      36.896us         0.02%      36.896us       2.306us           0 b           0 b           0 b           0 b            16            --  
void at::native::mbtopk::gatherTopK<c10::BFloat16, u...         0.00%       0.000us         0.00%       0.000us       0.000us      36.093us         0.02%      36.093us       4.512us           0 b           0 b           0 b           0 b             8            --  
                                            aten::clone         0.02%      97.178us         0.12%     654.714us      36.373us       0.000us         0.00%      34.400us       1.911us           0 b           0 b      13.13 Mb           0 b            18            --  
                                    aten::_assert_async         0.01%      68.015us         0.04%     193.967us      10.776us      33.153us         0.02%      33.153us       1.842us           0 b           0 b           0 b           0 b            18            --  
void at::native::_assert_async_cuda_kernel<bool>(boo...         0.00%       0.000us         0.00%       0.000us       0.000us      33.153us         0.02%      33.153us       1.842us           0 b           0 b           0 b           0 b            18            --  
                                        aten::embedding         0.04%     187.487us         0.14%     728.833us      80.981us       0.000us         0.00%      31.488us       3.499us           0 b           0 b       3.32 Mb           0 b             9            --  
                                     aten::index_select         0.05%     248.438us         0.09%     489.197us      54.355us      31.488us         0.02%      31.488us       3.499us           0 b           0 b       3.32 Mb           0 b             9            --  
                                               aten::lt         0.06%     337.869us         0.09%     498.088us      27.672us      31.264us         0.02%      31.264us       1.737us           0 b           0 b       4.29 Mb       4.29 Mb            18            --  
                                            aten::fill_         0.07%     350.737us         0.13%     672.225us      23.180us      29.280us         0.02%      29.280us       1.010us           0 b           0 b           0 b           0 b            29            --  
void at::native::radixSortKVInPlace<2, -1, 32, 4, c1...         0.00%       0.000us         0.00%       0.000us       0.000us      29.185us         0.02%      29.185us       3.648us           0 b           0 b           0 b           0 b             8            --  
void at::native::(anonymous namespace)::sort_postpro...         0.00%       0.000us         0.00%       0.000us       0.000us      29.025us         0.02%      29.025us       3.628us           0 b           0 b           0 b           0 b             8            --  
void at::native::mbtopk::computeBlockwiseWithinKCoun...         0.00%       0.000us         0.00%       0.000us       0.000us      28.992us         0.02%      28.992us       1.611us           0 b           0 b           0 b           0 b            18            --  
                                      aten::masked_fill         0.02%      86.551us         0.11%     582.827us      64.759us       0.000us         0.00%      28.608us       3.179us           0 b           0 b       8.85 Mb           0 b             9            --  
