LIVE SERVER ENGINE PROFILE
max_running=8
max_seq_len=4096
token_budget=32768
cuda_graphs=True
profile_steps=10

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at_cuda_detail::cub::DeviceRadixSortUpsweepKern...         0.00%       0.000us         0.00%       0.000us       0.000us      99.454us         0.05%      99.454us       3.315us           0 b           0 b           0 b           0 b            30            --  
void at_cuda_detail::cub::RadixSortScanBinsKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us      97.952us         0.05%      97.952us       3.265us           0 b           0 b           0 b           0 b            30            --  
void at::native::mbtopk::radixFindKthValues<c10::BFl...         0.00%       0.000us         0.00%       0.000us       0.000us      83.393us         0.04%      83.393us       5.212us           0 b           0 b           0 b           0 b            16            --  
                                            aten::clone         0.05%     158.767us         0.36%       1.148ms      40.997us       0.000us         0.00%      81.408us       2.907us           0 b           0 b      32.73 Mb           0 b            28            --  
                                               aten::to         0.06%     197.480us        47.46%     151.954ms       1.727ms       0.000us         0.00%      73.568us       0.836us         328 b           0 b      20.74 Mb           0 b            88            --  
                                         aten::_to_copy         0.19%     596.896us        47.40%     151.756ms       1.997ms       0.000us         0.00%      73.568us       0.968us         328 b           0 b      20.74 Mb           0 b            76            --  
                                              aten::min         0.06%     200.140us         0.13%     420.719us      42.072us      61.313us         0.03%      61.313us       6.131us           0 b           0 b       5.00 Kb           0 b            10            --  
                                              aten::max         0.05%     169.587us         0.10%     335.916us      33.592us      60.449us         0.03%      60.449us       6.045us           0 b           0 b       5.00 Kb           0 b            10            --  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us      60.128us         0.03%      60.128us       7.516us           0 b           0 b           0 b           0 b             8            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      53.953us         0.03%      53.953us       5.395us           0 b           0 b           0 b           0 b            10            --  
